ALL abundances NOT listed below differ from solar by  -0.13 dex
 HD119638.ares                                                                  
          Teff= 6105          log g= 4.48             vt= 1.29 M/H=-0.13        

Abundance Results for Species Fe I         (input abundance =   7.34)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4523.40      3.65    -1.871      28.7     -5.20      7.33       -0.01
   4537.67      3.27    -2.870       9.2     -5.69      7.36        0.02
   4551.65      3.94    -1.928      16.1     -5.45      7.30       -0.04
   4556.93      3.25    -2.644      14.6     -5.49      7.35        0.01
   4566.52      3.30    -2.156      30.1     -5.18      7.32       -0.01
   4574.22      3.21    -2.353      25.3     -5.26      7.33       -0.01
   4593.53      3.94    -1.921      16.9     -5.43      7.32       -0.02
   4596.41      3.65    -2.090      19.3     -5.38      7.30       -0.04
   4602.00      1.61    -3.163      57.1     -4.91      7.34       -0.00
   4630.12      2.28    -2.488      58.9     -4.90      7.32       -0.02
   4631.49      4.55    -1.890       5.9     -5.89      7.31       -0.03
   4661.54      4.56    -1.186      24.3     -5.28      7.33       -0.01
   4690.14      3.69    -1.550      43.7     -5.03      7.33       -0.01
   4802.88      3.69    -1.527      47.1     -5.01      7.37        0.03
   4808.15      3.25    -2.630      15.4     -5.49      7.35        0.01
   4809.94      3.57    -2.542      10.3     -5.67      7.34        0.00
   4811.05      3.07    -3.182       7.7     -5.80      7.39        0.05
   4885.43      3.88    -1.136      58.2     -4.92      7.35        0.01
   4961.92      3.63    -2.301      15.1     -5.52      7.34        0.00
   5127.36      0.92    -3.317      80.7     -4.80      7.30       -0.04
   5223.19      3.63    -2.252      17.4     -5.48      7.36        0.02
   5228.38      4.22    -1.095      42.0     -5.10      7.29       -0.05
   5242.50      3.63    -1.124      73.2     -4.86      7.37        0.03
   5243.78      4.26    -1.022      47.6     -5.04      7.35        0.01
   5247.06      0.09    -4.941      46.2     -5.06      7.38        0.04
   5294.55      3.64    -2.627       8.0     -5.82      7.34        0.01
   5295.32      4.42    -1.518      18.6     -5.45      7.36        0.03
   5376.83      4.29    -2.040       7.5     -5.86      7.31       -0.03
