ALL abundances NOT listed below differ from solar by  -0.20 dex
 HD142709.ares                                                                  
Teff=4567   log g=4.22   [Fe/H]=-0.30    vt=3.945e-01 vt= 0.39 M/H=-0.20        

Abundance Results for Species Fe I         (input abundance =   7.27)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4523.40      3.65    -1.871      53.4     -4.93      7.11       -0.06
   4537.67      3.27    -2.870      32.3     -5.15      7.25        0.08
   4551.65      3.94    -1.928      31.5     -5.16      7.03       -0.14
   4556.93      3.25    -2.644      32.2     -5.15      7.00       -0.17
   4566.52      3.30    -2.156      53.7     -4.93      7.03       -0.14
   4574.22      3.21    -2.353      53.5     -4.93      7.13       -0.04
   4593.53      3.94    -1.921      31.9     -5.16      7.04       -0.13
   4596.41      3.65    -2.090      39.0     -5.07      7.04       -0.13
   4602.00      1.61    -3.163     104.1     -4.65      7.08       -0.09
   4630.12      2.28    -2.488     113.5     -4.61      7.20        0.03
   4631.49      4.55    -1.890      12.6     -5.57      7.13       -0.04
   4661.54      4.56    -1.186      42.6     -5.04      7.14       -0.03
   4690.14      3.69    -1.550      62.3     -4.88      6.97       -0.20
   4802.88      3.69    -1.527      62.5     -4.89      6.96       -0.21
   4808.15      3.25    -2.630      37.7     -5.11      7.11       -0.06
   4809.94      3.57    -2.542      33.2     -5.16      7.28        0.11
   4811.05      3.07    -3.182      42.9     -5.05      7.57        0.40
   4885.43      3.88    -1.136      79.7     -4.79      7.01       -0.16
   4961.92      3.63    -2.301      49.4     -5.00      7.44        0.27
   5223.19      3.63    -2.252      50.1     -5.02      7.40        0.23
   5228.38      4.22    -1.095      60.1     -4.94      7.03       -0.14
   5242.50      3.63    -1.124     118.6     -4.65      7.18        0.01
   5243.78      4.26    -1.022      62.9     -4.92      7.03       -0.14
   5247.06      0.09    -4.941     109.8     -4.68      7.18        0.01
   5294.55      3.64    -2.627      30.9     -5.23      7.38        0.21
   5295.32      4.42    -1.518      30.1     -5.25      7.12       -0.05
   5376.83      4.29    -2.040      19.8     -5.43      7.25        0.08
   5379.58      3.69    -1.552      67.4     -4.90      7.07       -0.10
   5386.34      4.15    -1.709      45.1     -5.08      7.32        0.15
   5389.48      4.42    -0.534      80.0     -4.83      6.93       -0.24
   5398.28      4.45    -0.684      75.9     -4.85      7.06       -0.11
   5432.95      4.45    -0.729      83.1     -4.82      7.20        0.03
   5436.30      4.39    -1.319      41.3     -5.12      7.12       -0.05
   5464.28      4.14    -1.595      35.0     -5.19      7.00       -0.17
   5466.99      3.65    -2.141      49.1     -5.05      7.29        0.12
