ALL abundances NOT listed below differ from solar by   0.40 dex
OH NO! ANOTHER FAILED ITERATION!
OH NO! ANOTHER FAILED ITERATION!
 NGC4349No53.ares                                                               
          Teff= 4706          log g= 0.00             vt= 2.48 M/H= 0.40        

Abundance Results for Species Fe I         (input abundance =   7.87)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4523.40      3.65    -1.871      73.7     -4.79      6.94        0.03
   4537.67      3.27    -2.870      46.7     -4.99      7.13        0.22
   4551.65      3.94    -1.928      50.7     -4.95      7.03        0.12
   4556.93      3.25    -2.644      64.0     -4.85      7.11        0.20
   4566.52      3.30    -2.156      85.0     -4.73      6.94        0.03
   4574.22      3.21    -2.353      76.0     -4.78      6.92        0.01
   4593.53      3.94    -1.921      60.3     -4.88      7.15        0.24
   4596.41      3.65    -2.090      61.8     -4.87      7.00        0.09
   4602.00      1.61    -3.163     120.1     -4.58      6.32       -0.59
   4630.12      2.28    -2.488     126.2     -4.56      6.58       -0.33
   4631.49      4.55    -1.890      24.5     -5.28      7.26        0.35
   4661.54      4.56    -1.186      53.4     -4.94      7.04        0.12
   4802.88      3.69    -1.527      90.7     -4.72      6.82       -0.10
   4808.15      3.25    -2.630      63.4     -4.88      7.05        0.14
   4809.94      3.57    -2.542      46.2     -5.02      7.12        0.21
   4811.05      3.07    -3.182      51.5     -4.97      7.23        0.32
   4885.43      3.88    -1.136      93.4     -4.72      6.67       -0.24
   4961.92      3.63    -2.301      61.3     -4.91      7.13        0.22
   5127.36      0.92    -3.317     163.1     -4.50      6.00       -0.91
   5141.74      2.42    -2.125     138.9     -4.57      6.42       -0.49
   5223.19      3.63    -2.252      59.8     -4.94      7.03        0.12
   5228.38      4.22    -1.095      83.2     -4.80      6.86       -0.05
   5242.50      3.63    -1.124     117.3     -4.65      6.61       -0.30
   5243.78      4.26    -1.022      87.6     -4.78      6.89       -0.03
   5247.06      0.09    -4.941     147.1     -4.55      6.21       -0.70
   5294.55      3.64    -2.627      41.4     -5.11      7.17        0.26
   5295.32      4.42    -1.518      52.4     -5.00      7.13        0.22
   5376.83      4.29    -2.040      30.9     -5.24      7.17        0.26
   5379.58      3.69    -1.552      95.1     -4.75      6.81       -0.11
   5386.34      4.15    -1.709      62.1     -4.94      7.12        0.21
   5389.48      4.42    -0.534     105.8     -4.71      6.80       -0.11
   5398.28      4.45    -0.684      93.5     -4.76      6.83       -0.08
   5409.14      4.37    -1.051      89.4     -4.78      7.05        0.14
   5436.30      4.39    -1.319      55.8     -4.99      6.92        0.01
   5464.28      4.14    -1.595      66.2     -4.92      7.03        0.12
   5466.99      3.65    -2.141      69.9     -4.89      7.04        0.13
   5473.17      4.19    -1.986      38.6     -5.15      7.12        0.20
   5522.45      4.21    -1.419      77.5     -4.85      7.07        0.16
   5543.94      4.22    -1.070      85.0     -4.81      6.81       -0.10
   5546.51      4.37    -1.124      74.5     -4.87      6.92        0.01
   5560.22      4.43    -1.064      73.2     -4.88      6.92        0.01
   5584.77      3.57    -2.189      64.5     -4.94      6.91       -0.00
   5618.64      4.21    -1.298      73.7     -4.88      6.90       -0.02
   5619.60      4.39    -1.435      58.2     -4.98      7.05        0.14
   5633.95      4.99    -0.385      76.3     -4.87      6.93        0.02
   5636.70      3.64    -2.511      41.8     -5.13      7.02        0.11
   5638.27      4.22    -0.809     104.4     -4.73      6.78       -0.13
   5649.99      5.10    -0.785      53.8     -5.02      7.17        0.26
   5651.47      4.47    -1.763      35.7     -5.20      7.16        0.25
   5653.87      4.39    -1.402      59.2     -4.98      7.03        0.12
   5679.03      4.65    -0.756      76.9     -4.87      6.90       -0.01
   5680.24      4.19    -2.330      31.2     -5.26      7.32        0.41
   5715.09      4.28    -0.847     104.8     -4.74      6.89       -0.03
   5720.90      4.55    -1.805      34.4     -5.22      7.27        0.36
   5738.24      4.22    -2.164      31.2     -5.26      7.19        0.27
   5853.15      1.49    -5.130      45.1     -5.11      7.02        0.11
   5855.08      4.61    -1.531      42.7     -5.14      7.18        0.27
   5862.36      4.55    -0.404     105.6     -4.74      6.76       -0.15
   5902.48      4.59    -1.797      30.2     -5.29      7.22        0.31
   5905.68      4.65    -0.775      80.9     -4.86      6.96        0.05
   5927.79      4.65    -1.057      61.7     -4.98      7.00        0.09
   5929.68      4.55    -1.211      61.6     -4.98      7.03        0.12
