ALL abundances NOT listed below differ from solar by  -0.14 dex
 NGC4349No53.ares                                                               
          Teff= 4846          log g= 2.59             vt= 1.51 M/H=-0.14        

Abundance Results for Species Fe I         (input abundance =   7.33)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4523.40      3.65    -1.871      73.7     -4.79      7.30       -0.03
   4537.67      3.27    -2.870      46.7     -4.99      7.32       -0.01
   4551.65      3.94    -1.928      50.7     -4.95      7.21       -0.12
   4556.93      3.25    -2.644      64.0     -4.85      7.40        0.07
   4566.52      3.30    -2.156      85.0     -4.73      7.43        0.10
   4574.22      3.21    -2.353      76.0     -4.78      7.31       -0.02
   4593.53      3.94    -1.921      60.3     -4.88      7.39        0.06
   4596.41      3.65    -2.090      61.8     -4.87      7.26       -0.07
   4602.00      1.61    -3.163     120.1     -4.58      7.28       -0.05
   4630.12      2.28    -2.488     126.2     -4.56      7.51        0.18
   4631.49      4.55    -1.890      24.5     -5.28      7.33       -0.00
   4661.54      4.56    -1.186      53.4     -4.94      7.21       -0.12
   4802.88      3.69    -1.527      90.7     -4.72      7.33        0.00
   4808.15      3.25    -2.630      63.4     -4.88      7.34        0.01
   4809.94      3.57    -2.542      46.2     -5.02      7.30       -0.03
   4811.05      3.07    -3.182      51.5     -4.97      7.46        0.13
   4885.43      3.88    -1.136      93.4     -4.72      7.20       -0.13
   4961.92      3.63    -2.301      61.3     -4.91      7.40        0.07
   5127.36      0.92    -3.317     163.1     -4.50      7.23       -0.10
   5141.74      2.42    -2.125     138.9     -4.57      7.38        0.06
   5223.19      3.63    -2.252      59.8     -4.94      7.30       -0.03
   5228.38      4.22    -1.095      83.2     -4.80      7.28       -0.05
   5242.50      3.63    -1.124     117.3     -4.65      7.33       -0.00
   5243.78      4.26    -1.022      87.6     -4.78      7.33        0.01
   5247.06      0.09    -4.941     147.1     -4.55      7.49        0.16
   5294.55      3.64    -2.627      41.4     -5.11      7.34        0.01
   5295.32      4.42    -1.518      52.4     -5.00      7.33        0.00
   5376.83      4.29    -2.040      30.9     -5.24      7.29       -0.04
   5379.58      3.69    -1.552      95.1     -4.75      7.35        0.03
   5386.34      4.15    -1.709      62.1     -4.94      7.38        0.05
   5389.48      4.42    -0.534     105.8     -4.71      7.36        0.04
   5398.28      4.45    -0.684      93.5     -4.76      7.31       -0.02
   5409.14      4.37    -1.051      89.4     -4.78      7.51        0.18
   5436.30      4.39    -1.319      55.8     -4.99      7.14       -0.19
   5464.28      4.14    -1.595      66.2     -4.92      7.33        0.00
   5466.99      3.65    -2.141      69.9     -4.89      7.37        0.05
   5473.17      4.19    -1.986      38.6     -5.15      7.27       -0.06
   5522.45      4.21    -1.419      77.5     -4.85      7.45        0.12
   5543.94      4.22    -1.070      85.0     -4.81      7.25       -0.08
   5546.51      4.37    -1.124      74.5     -4.87      7.27       -0.06
   5560.22      4.43    -1.064      73.2     -4.88      7.26       -0.07
   5584.77      3.57    -2.189      64.5     -4.94      7.21       -0.11
   5618.64      4.21    -1.298      73.7     -4.88      7.25       -0.08
   5619.60      4.39    -1.435      58.2     -4.98      7.30       -0.03
