ALL abundances NOT listed below differ from solar by   0.00 dex
  newloggf                                                                      
          Teff= 5777          log g= 4.42             vt= 1.00 M/H= 0.00        

Abundance Results for Species Fe I         (input abundance =   7.47)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4000.01      2.83    -3.687       7.3     -5.74      7.47       -0.00
   4080.88      3.65    -1.543      58.2     -4.85      7.47       -0.00
   4114.94      3.37    -1.720      61.2     -4.83      7.47       -0.00
   4189.56      3.69    -1.140      77.9     -4.73      7.47        0.00
   4194.49      2.73    -3.313      18.8     -5.35      7.47       -0.00
   4207.13      2.83    -1.739      82.9     -4.71      7.47       -0.00
   4319.45      2.61    -3.471      17.9     -5.38      7.47        0.00
   4360.79      3.64    -1.624      56.0     -4.89      7.47        0.00
   4389.25      0.05    -4.627      72.6     -4.78      7.46       -0.01
   4392.59      3.88    -1.772      38.4     -5.06      7.47        0.00
   4432.57      3.57    -1.772      52.1     -4.93      7.47        0.00
   4439.64      3.05    -2.981      20.4     -5.34      7.47       -0.00
   4439.88      2.28    -3.005      51.0     -4.94      7.47       -0.00
   4447.13      2.20    -2.673      68.2     -4.81      7.47       -0.00
   4478.02      2.20    -3.730      23.2     -5.29      7.47        0.00
   4484.22      3.60    -0.889      99.5     -4.65      7.47        0.00
   4485.97      3.65    -2.430      19.9     -5.35      7.47       -0.00
   4489.74      0.12    -3.925      98.3     -4.66      7.47        0.00
   4523.40      3.65    -1.871      44.2     -5.01      7.47        0.00
   4537.67      3.27    -2.870      17.4     -5.42      7.47       -0.00
   4551.65      3.94    -1.928      29.1     -5.19      7.46       -0.00
   4556.93      3.25    -2.644      26.3     -5.24      7.47        0.00
   4566.52      3.30    -2.156      46.2     -4.99      7.47       -0.00
   4574.22      3.21    -2.353      41.0     -5.05      7.47       -0.00
   4593.53      3.94    -1.921      29.5     -5.19      7.47       -0.00
   4596.41      3.65    -2.090      34.1     -5.13      7.47        0.00
   4602.00      1.61    -3.163      72.2     -4.80      7.47       -0.00
   4630.12      2.28    -2.488      74.3     -4.79      7.47        0.00
   4631.49      4.55    -1.890      11.6     -5.60      7.47        0.00
   4661.54      4.56    -1.186      38.5     -5.08      7.47        0.00
   4690.14      3.69    -1.550      58.8     -4.90      7.46       -0.00
   4802.88      3.69    -1.527      60.4     -4.90      7.47        0.00
   4808.15      3.25    -2.630      27.7     -5.24      7.47        0.00
   4809.94      3.57    -2.542      19.4     -5.39      7.47        0.00
   4811.05      3.07    -3.182      14.5     -5.52      7.47        0.00
   4885.43      3.88    -1.136      72.5     -4.83      7.47        0.00
   4961.92      3.63    -2.301      26.7     -5.27      7.47        0.00
   5127.36      0.92    -3.317      99.4     -4.71      7.47        0.00
   5141.74      2.42    -2.125      89.3     -4.76      7.47       -0.00
   5223.19      3.63    -2.252      29.4     -5.25      7.47        0.00
   5228.38      4.22    -1.095      60.0     -4.94      7.47        0.00
   5242.50      3.63    -1.124      86.7     -4.78      7.47       -0.00
   5243.78      4.26    -1.022      62.2     -4.93      7.47       -0.00
   5247.06      0.09    -4.941      66.4     -4.90      7.47       -0.00
   5294.55      3.64    -2.627      15.5     -5.53      7.47        0.00
   5295.32      4.42    -1.518      29.3     -5.26      7.47        0.00
   5376.83      4.29    -2.040      14.7     -5.56      7.47        0.00
   5379.58      3.69    -1.552      61.2     -4.94      7.47        0.00
   5386.34      4.15    -1.709      32.1     -5.22      7.47       -0.00
   5389.48      4.42    -0.534      84.6     -4.80      7.47        0.00
   5398.28      4.45    -0.684      73.3     -4.87      7.47       -0.00
   5409.14      4.37    -1.051      55.7     -4.99      7.47        0.00
   5432.95      4.45    -0.729      70.6     -4.89      7.47       -0.00
   5436.30      4.39    -1.319      40.5     -5.13      7.47       -0.00
   5464.28      4.14    -1.595      38.2     -5.16      7.47        0.00
   5466.99      3.65    -2.141      34.2     -5.20      7.47        0.00
   5473.17      4.19    -1.986      19.5     -5.45      7.47        0.00
   5522.45      4.21    -1.419      44.0     -5.10      7.47        0.00
   5543.94      4.22    -1.070      62.2     -4.95      7.47       -0.00
   5546.51      4.37    -1.124      52.0     -5.03      7.47       -0.00
   5560.22      4.43    -1.064      52.4     -5.03      7.47        0.00
   5584.77      3.57    -2.189      35.8     -5.19      7.47       -0.00
   5618.64      4.21    -1.298      50.5     -5.05      7.47        0.00
   5619.60      4.39    -1.435      35.0     -5.21      7.47        0.00
   5633.95      4.99    -0.385      66.5     -4.93      7.47        0.00
   5636.70      3.64    -2.511      19.8     -5.45      7.47        0.00
   5638.27      4.22    -0.809      77.6     -4.86      7.47       -0.00
   5649.99      5.10    -0.785      36.2     -5.19      7.47        0.00
   5651.47      4.47    -1.763      18.4     -5.49      7.47        0.00
   5653.87      4.39    -1.402      36.7     -5.19      7.47       -0.00
   5679.03      4.65    -0.756      59.5     -4.98      7.46       -0.00
   5680.24      4.19    -2.330      10.3     -5.74      7.47        0.00
   5715.09      4.28    -0.847      72.5     -4.90      7.47        0.00
   5720.90      4.55    -1.805      14.9     -5.58      7.47        0.00
   5738.24      4.22    -2.164      13.6     -5.63      7.47       -0.00
   5775.08      4.22    -1.124      59.8     -4.98      7.47        0.00
   5793.92      4.22    -1.622      34.0     -5.23      7.47       -0.00
   5811.92      4.14    -2.333      11.4     -5.71      7.47        0.00
   5814.81      4.28    -1.820      23.0     -5.40      7.47        0.00
   5815.22      4.15    -2.364      10.5     -5.74      7.47       -0.00
   5853.15      1.49    -5.130       7.5     -5.89      7.47       -0.00
   5855.08      4.61    -1.531      22.3     -5.42      7.47        0.00
   5862.36      4.55    -0.404      87.6     -4.83      7.47        0.00
   5902.48      4.59    -1.797      14.2     -5.62      7.47       -0.00
   5905.68      4.65    -0.775      58.7     -5.00      7.47        0.00
   5927.79      4.65    -1.057      42.9     -5.14      7.47       -0.00
   5929.68      4.55    -1.211      39.5     -5.18      7.47       -0.00
   5930.19      4.65    -0.326      87.9     -4.83      7.47       -0.00
   5934.66      3.93    -1.091      76.4     -4.89      7.47        0.00
   5956.70      0.86    -4.526      53.7     -5.05      7.47       -0.00
   5983.69      4.55    -0.719      67.2     -4.95      7.47        0.00
   5987.07      4.79    -0.478      70.2     -4.93      7.47        0.00
   6005.55      2.59    -3.479      22.4     -5.43      7.47       -0.00
   6027.06      4.08    -1.178      64.4     -4.97      7.47        0.00
   6056.01      4.73    -0.489      72.6     -4.92      7.47       -0.00
   6078.49      4.79    -0.364      77.9     -4.89      7.47        0.00
   6079.01      4.65    -1.008      45.8     -5.12      7.47        0.00
   6089.57      4.58    -1.273      35.3     -5.24      7.47        0.00
   6094.38      4.65    -1.566      19.9     -5.49      7.47       -0.00
   6096.67      3.98    -1.776      38.2     -5.20      7.47       -0.00
   6120.25      0.92    -5.894       5.2     -6.07      7.47        0.00
   6127.91      4.14    -1.417      48.9     -5.10      7.47        0.00
   6151.62      2.18    -3.298      49.7     -5.09      7.47        0.00
   6157.73      4.08    -1.238      61.5     -5.00      7.47        0.00
   6159.38      4.61    -1.878      11.9     -5.71      7.47       -0.00
   6173.34      2.22    -2.877      68.0     -4.96      7.47       -0.00
   6200.32      2.61    -2.397      73.0     -4.93      7.47        0.00
   6219.29      2.20    -2.463      89.6     -4.84      7.47       -0.00
   6226.74      3.88    -2.069      29.2     -5.33      7.47       -0.00
   6232.65      3.65    -1.240      83.3     -4.87      7.47        0.00
   6240.65      2.22    -3.292      48.3     -5.11      7.47       -0.00
   6270.23      2.86    -2.573      52.8     -5.07      7.47        0.00
   6315.81      4.08    -1.645      40.5     -5.19      7.47        0.00
   6322.69      2.59    -2.368      76.0     -4.92      7.47       -0.00
   6335.34      2.20    -2.339      97.2     -4.81      7.47       -0.00
   6358.68      0.86    -3.907      84.4     -4.88      7.47        0.00
   6392.54      2.28    -3.942      17.8     -5.56      7.47        0.00
   6481.88      2.28    -2.929      64.1     -5.00      7.47        0.00
   6593.88      2.43    -2.384      84.6     -4.89      7.47        0.00
   6609.12      2.56    -2.632      65.7     -5.00      7.47       -0.00
   6627.55      4.55    -1.475      28.2     -5.37      7.47        0.00
   6646.94      2.61    -3.915      10.3     -5.81      7.47       -0.00
   6699.15      4.59    -2.106       8.2     -5.91      7.47        0.00
   6705.11      4.61    -1.057      46.5     -5.16      7.47        0.00
   6710.32      1.49    -4.810      15.9     -5.63      7.47       -0.00
   6713.74      4.79    -1.425      21.2     -5.50      7.47       -0.00
   6725.36      4.10    -2.187      17.6     -5.58      7.47       -0.00
   6726.67      4.61    -1.045      47.2     -5.15      7.47       -0.00
   6732.07      4.58    -2.144       7.7     -5.94      7.47       -0.00
   6739.52      1.56    -4.902      11.7     -5.76      7.47        0.00
   6745.97      4.08    -2.657       7.2     -5.97      7.47       -0.00
   6839.84      2.56    -3.377      29.9     -5.36      7.47        0.00
   6842.69      4.64    -1.169      39.3     -5.24      7.47        0.00
   6855.72      4.61    -1.674      18.6     -5.57      7.47       -0.00
   6857.25      4.08    -2.075      22.4     -5.49      7.47        0.00
   6858.15      4.61    -0.972      51.6     -5.12      7.47       -0.00
   6861.94      2.42    -3.795      18.9     -5.56      7.47       -0.00
   6864.32      4.56    -2.229       6.8     -6.00      7.47       -0.00
average abundance =  7.47     std. deviation =  0.00     #lines = 138
E.P. correlation:  slope =   0.000  intercept =   7.468  corr. coeff. =   0.148
R.W. correlation:  slope =   0.000  intercept =   7.469  corr. coeff. =   0.004
wav. correl.:  slope =   1.427D-07  intercept =   7.468  corr. coeff. =   0.058

Abundance Results for Species Fe II        (input abundance =   7.47)
wavelength        EP     logGF        EW     logRW     abund     del avg
   4124.78      2.54    -4.023      31.8     -5.11      7.46       -0.00
   4508.28      2.86    -2.403      87.3     -4.71      7.47        0.00
   4520.22      2.81    -2.563      81.9     -4.74      7.46       -0.00
   4576.34      2.84    -2.947      64.9     -4.85      7.47        0.00
   4656.98      2.89    -3.676      33.8     -5.14      7.46       -0.00
   4731.47      2.89    -2.515      82.1     -4.76      7.47        0.00
   4923.93      2.89    -1.541     154.3     -4.50      7.47        0.00
   5197.57      3.23    -2.293      80.1     -4.81      7.47        0.00
