WL         num       E.P.     loggf         ele     EWsun
-------    ----      ----     ------        ----    -----
10065.05   26.0      4.83     -0.279        FeI      94.0
10080.42   26.0      5.10     -1.964        FeI       5.9
10081.39   26.0      2.42     -4.512        FeI       6.9
10086.24   26.0      2.95     -3.978        FeI       7.0
10137.10   26.0      5.09     -1.736        FeI       9.8
10142.84   26.0      5.06     -1.554        FeI      14.9
10145.56   26.0      4.80     -0.118        FeI     109.0
10155.16   26.0      2.18     -4.336        FeI      16.2
10156.51   26.0      4.59     -2.109        FeI      12.2
10167.47   26.0      2.20     -2.319        FeI     125.7
10195.11   26.0      2.73     -3.608        FeI      22.6
10216.31   26.0      4.73      0.047        FeI     129.9
10218.41   26.0      3.07     -2.893        FeI      40.9
10265.22   26.0      2.22     -4.648        FeI       8.1
10307.45   26.0      4.59     -2.432        FeI       6.4
10332.33   26.0      3.63     -3.131        FeI      10.5
10340.89   26.0      2.20     -3.665        FeI      46.6
10347.97   26.0      5.39     -0.717        FeI      37.0
10353.81   26.0      5.39     -0.989        FeI      24.2
10364.06   26.0      5.45     -1.100        FeI      18.0
10379.00   26.0      2.22     -4.236        FeI      18.7
10388.75   26.0      5.45     -1.471        FeI       8.7
10395.80   26.0      2.18     -3.435        FeI      61.3
10423.03   26.0      2.69     -3.658        FeI      22.9
10423.74   26.0      3.07     -3.119        FeI      29.9
10469.65   26.0      3.88     -1.277        FeI      89.3
10532.24   26.0      3.93     -1.650        FeI      64.4
10555.65   26.0      5.45     -1.282        FeI      13.1
10577.14   26.0      3.30     -3.222        FeI      17.2
10616.72   26.0      3.27     -3.306        FeI      15.6
10725.19   26.0      3.64     -2.948        FeI      15.7
10753.00   26.0      3.96     -2.077        FeI      39.7
10780.69   26.0      3.24     -3.553        FeI      10.4
10783.05   26.0      3.11     -2.786        FeI      47.0
10818.28   26.0      3.96     -2.160        FeI      35.6
10863.52   26.0      4.73     -0.877        FeI      67.1
10884.26   26.0      3.93     -2.129        FeI      39.1
10896.30   26.0      3.07     -2.911        FeI      42.9
11013.24   26.0      4.80     -1.240        FeI      42.4
11026.79   26.0      3.94     -2.517        FeI      21.2
11119.80   26.0      2.85     -2.452        FeI      84.8
11641.80   26.0      4.58     -2.116        FeI      15.6
11778.42   26.0      5.34     -1.708        FeI       8.4
12053.08   26.0      4.56     -1.602        FeI      41.3
12119.50   26.0      4.59     -1.897        FeI      25.0
12213.34   26.0      4.64     -2.006        FeI      19.1
12227.11   26.0      4.61     -1.408        FeI      51.5
12244.92   26.0      3.64     -3.222        FeI      11.8
12340.48   26.0      2.28     -4.680        FeI       9.4
12342.92   26.0      4.64     -1.545        FeI      42.1
12510.52   26.0      4.96     -1.930        FeI      12.9
12557.00   26.0      2.28     -4.026        FeI      33.8
12615.93   26.0      4.64     -1.686        FeI      35.7
12638.70   26.0      4.56     -0.679        FeI     112.3
12807.15   26.0      3.64     -2.649        FeI      37.1
12808.24   26.0      4.99     -1.811        FeI      16.4
12824.86   26.0      3.02     -3.612        FeI      20.1
12840.57   26.0      4.96     -1.612        FeI      25.3
12879.77   26.0      2.28     -3.525        FeI      68.7
12896.12   26.0      4.91     -1.713        FeI      23.2
12933.01   26.0      5.02     -1.879        FeI      13.9
12934.67   26.0      5.39     -1.103        FeI      30.9
13014.84   26.0      5.45     -1.542        FeI      12.3
13352.17   26.0      5.31     -0.355        FeI      94.4
13392.10   26.0      5.35     -0.105        FeI     115.1
15194.49   26.0      2.22     -4.808        FeI      14.1
15201.57   26.0      5.49     -1.315        FeI      29.0
15207.53   26.0      5.38      0.311        FeI     215.9
15335.38   26.0      5.41      0.252        FeI     205.2
15490.34   26.0      2.20     -4.787        FeI      16.1
15593.74   26.0      5.03     -1.796        FeI      28.0
15611.15   26.0      3.42     -2.966        FeI      51.6
15631.95   26.0      5.35      0.171        FeI     207.0
15648.51   26.0      5.43     -0.633        FeI      93.8
15676.58   26.0      5.11     -1.848        FeI      22.3
16198.50   26.0      5.41     -0.376        FeI     131.4
17420.83   26.0      3.88     -3.628        FeI       6.7
19923.34   26.0      5.02     -1.536        FeI      49.7
21851.38   26.0      3.64     -3.578        FeI      12.7
22257.11   26.0      5.06     -0.704        FeI     132.5
22380.80   26.0      5.03     -0.377        FeI     179.4
22392.88   26.0      5.10     -1.330        FeI      60.8
22619.84   26.0      4.99     -0.564        FeI     158.2
23308.48   26.0      4.08     -2.705        FeI      31.3
10427.31   26.1      6.08     -1.575       FeII      13.7
10501.50   26.1      5.55     -1.861       FeII      19.5
10862.64   26.1      5.59     -2.006       FeII      15.3
11125.58   26.1      5.62     -2.213       FeII      10.5
13251.14   26.1      9.41      0.768       FeII      13.4
