WL         num       E.P.     loggf         ele     EWsun
-------    ----      ----     ------        ----    -----
6154.23    11.0      2.10     -1.504        NaI      36.6
6160.75    11.0      2.10     -1.212        NaI      54.3
4730.04    12.0      4.35     -2.201        MgI      69.6
5711.09    12.0      4.35     -1.685        MgI     105.6
6319.24    12.0      5.11     -2.308        MgI      25.2
6696.03    13.0      3.14     -1.540        AlI      36.2
6698.67    13.0      3.14     -1.865        AlI      21.1
5517.54    14.0      5.08     -2.456        SiI      12.9
5645.61    14.0      4.93     -2.011        SiI      35.8
5684.49    14.0      4.95     -1.549        SiI      61.2
5701.11    14.0      4.93     -1.976        SiI      37.7
5753.64    14.0      5.62     -1.249        SiI      45.7
5772.15    14.0      5.08     -1.588        SiI      52.0
5797.87    14.0      4.95     -1.846        SiI      43.9
5948.54    14.0      5.08     -1.066        SiI      85.4
6125.02    14.0      5.61     -1.490        SiI      31.7
6142.49    14.0      5.62     -1.454        SiI      33.1
6145.02    14.0      5.62     -1.350        SiI      38.8
6195.46    14.0      5.87     -1.617        SiI      17.1
6237.33    14.0      5.61     -1.005        SiI      61.1
6243.82    14.0      5.62     -1.248        SiI      44.8
6244.48    14.0      5.62     -1.225        SiI      46.2
6527.21    14.0      5.87     -1.146        SiI      38.9
6721.85    14.0      5.86     -1.067        SiI      44.0
6741.63    14.0      5.98     -1.574        SiI      15.5
5261.71    20.0      2.52     -0.499        CaI      97.7
5349.47    20.0      2.71     -0.468        CaI      94.6
5512.98    20.0      2.93     -0.455        CaI      84.8
5867.56    20.0      2.93     -1.571        CaI      25.1
6156.02    20.0      2.52     -2.456        CaI       9.6
6161.29    20.0      2.52     -1.328        CaI      60.6
6166.44    20.0      2.52     -1.178        CaI      69.9
6169.04    20.0      2.52     -0.848        CaI      92.2
6449.82    20.0      2.52     -0.594        CaI      98.1
6455.60    20.0      2.52     -1.349        CaI      56.3
6471.67    20.0      2.53     -0.699        CaI      91.2
6499.65    20.0      2.52     -0.804        CaI      85.8
4743.82    21.0      1.45      0.229        ScI       8.0
5520.50    21.0      1.87      0.498        ScI       6.6
5671.82    21.0      1.45      0.471        ScI      14.6
5526.82    21.1      1.77      0.127        Sc2      76.3
5657.88    21.1      1.51     -0.352        Sc2      66.9
5667.14    21.1      1.50     -1.072        Sc2      33.9
5684.19    21.1      1.51     -0.992        Sc2      37.2
6245.62    21.1      1.51     -1.069        Sc2      34.9
6320.84    21.1      1.50     -1.917        Sc2       8.1
4555.49    22.0      0.85     -0.545        TiI      63.7
4562.63    22.0      0.02     -2.698        TiI      10.9
4645.19    22.0      1.73     -0.639        TiI      22.0
4656.47    22.0      0.00     -1.284        TiI      68.6
4675.11    22.0      1.07     -0.916        TiI      38.1
4722.61    22.0      1.05     -1.407        TiI      18.7
4820.41    22.0      1.50     -0.397        TiI      43.1
4913.62    22.0      1.87      0.112        TiI      50.2
4997.10    22.0      0.00     -2.150        TiI      31.6
5016.17    22.0      0.85     -0.631        TiI      63.2
5039.96    22.0      0.02     -1.177        TiI      75.3
5064.06    22.0      2.69     -0.449        TiI       5.5
5071.49    22.0      1.46     -0.770        TiI      28.8
5113.44    22.0      1.44     -0.832        TiI      27.0
5145.47    22.0      1.46     -0.591        TiI      37.0
5219.70    22.0      0.02     -2.230        TiI      28.1
5490.16    22.0      1.46     -0.982        TiI      21.4
5503.90    22.0      2.58     -0.187        TiI      12.3
5648.57    22.0      2.49     -0.384        TiI      10.1
5662.16    22.0      2.32     -0.101        TiI      23.5
5739.48    22.0      2.25     -0.751        TiI       7.7
5766.33    22.0      3.29      0.360        TiI       9.6
5965.84    22.0      1.88     -0.457        TiI      26.7
5978.55    22.0      1.87     -0.571        TiI      22.6
6064.63    22.0      1.05     -1.915        TiI       8.3
6091.18    22.0      2.27     -0.416        TiI      15.0
6126.22    22.0      1.07     -1.387        TiI      22.1
6258.11    22.0      1.44     -0.409        TiI      51.5
6261.10    22.0      1.43     -0.459        TiI      49.2
6599.12    22.0      0.90     -2.040        TiI       9.3
4583.41    22.1      1.16     -2.801        Ti2      31.8
4636.33    22.1      1.16     -3.117        Ti2      19.8
4657.20    22.1      1.24     -2.328        Ti2      49.3
4708.67    22.1      1.24     -2.342        Ti2      48.9
4911.20    22.1      3.12     -0.463        Ti2      52.3
5211.54    22.1      2.59     -1.440        Ti2      32.8
5381.03    22.1      1.57     -1.842        Ti2      59.1
5418.77    22.1      1.58     -2.051        Ti2      49.5
5670.85    23.0      1.08     -0.427         VI      18.8
5727.05    23.0      1.08      0.043         VI      38.8
6039.73    23.0      1.06     -0.691         VI      12.4
6081.45    23.0      1.05     -0.637         VI      14.1
6090.21    23.0      1.08     -0.093         VI      33.5
6119.53    23.0      1.06     -0.395         VI      21.6
6243.11    23.0      0.30     -1.011         VI      27.8
6251.83    23.0      0.29     -1.376         VI      15.0
4575.11    24.0      3.37     -0.981        CrI      10.0
4626.18    24.0      0.97     -1.393        CrI      83.3
4633.25    24.0      3.13     -1.197        CrI      10.4
4700.61    24.0      2.71     -1.443        CrI      14.0
4708.02    24.0      3.17     -0.040        CrI      55.0
4730.72    24.0      3.08     -0.257        CrI      46.3
4767.86    24.0      3.56     -0.574        CrI      16.1
4801.03    24.0      3.12     -0.156        CrI      49.6
4936.34    24.0      3.11     -0.264        CrI      45.6
5122.12    24.0      1.03     -3.153        CrI      12.9
5214.14    24.0      3.37     -0.753        CrI      16.4
5238.97    24.0      2.71     -1.408        CrI      15.9
5247.57    24.0      0.96     -1.610        CrI      82.0
5287.18    24.0      3.44     -0.934        CrI      10.4
5348.33    24.0      1.00     -1.233        CrI     100.1
5480.51    24.0      3.45     -0.977        CrI       9.5
5781.18    24.0      3.32     -0.862        CrI      15.5
5783.07    24.0      3.32     -0.458        CrI      31.4
5787.92    24.0      3.32     -0.129        CrI      46.0
6882.52    24.0      3.44     -0.351        CrI      32.2
4588.20    24.1      4.07     -0.720        Cr2      68.5
4592.05    24.1      4.07     -1.217        Cr2      47.6
4884.61    24.1      3.86     -2.030        Cr2      23.4
4502.21    25.0      2.92     -0.511        MnI      57.0
4739.11    25.0      2.94     -0.445        MnI      60.1
4761.51    25.0      2.95     -0.080        MnI      75.2
5377.62    25.0      3.84     -0.087        MnI      40.8
6013.49    25.0      3.07      0.092        MnI      86.2
4594.63    27.0      3.63     -0.361        CoI      12.5
4792.86    27.0      3.25     -0.149        CoI      32.7
4813.48    27.0      3.22      0.122        CoI      45.9
5301.05    27.0      1.71     -2.037        CoI      19.5
5342.71    27.0      4.02      0.545        CoI      32.3
5352.05    27.0      3.58     -0.083        CoI      24.4
5359.20    27.0      4.15     -0.039        CoI       9.6
5647.24    27.0      2.28     -1.677        CoI      14.0
6814.95    27.0      1.96     -1.901        CoI      18.8
4512.99    28.0      3.71     -1.446        NiI      19.4
4811.99    28.0      3.66     -1.332        NiI      25.6
4814.60    28.0      3.60     -1.650        NiI      16.7
4913.98    28.0      3.74     -0.628        NiI      55.7
4946.04    28.0      3.80     -1.204        NiI      26.2
4952.29    28.0      3.61     -1.224        NiI      32.3
4976.33    28.0      1.68     -2.978        NiI      37.7
4995.66    28.0      3.63     -1.594        NiI      17.9
5010.94    28.0      3.63     -0.883        NiI      48.8
5081.11    28.0      3.85      0.113        NiI      93.5
5094.41    28.0      3.83     -1.083        NiI      30.3
