WL         num       E.P.     loggf         ele     EWsun
-------    ----      ----     ------        ----    -----
4523.40    26.0      3.65     -1.937        FeI      44.2
4531.62    26.0      3.21     -1.803        FeI      66.4
4537.67    26.0      3.27     -2.917        FeI      17.4
4551.65    26.0      3.94     -1.983        FeI      29.1
4554.46    26.0      2.87     -2.823        FeI      37.4
4556.93    26.0      3.25     -2.690        FeI      26.3
4561.41    26.0      2.76     -2.921        FeI      36.5
4566.52    26.0      3.30     -2.183        FeI      46.2
4574.22    26.0      3.21     -2.427        FeI      41.0
4574.72    26.0      2.28     -2.901        FeI      59.6
4579.33    26.0      2.83     -3.069        FeI      27.3
4593.53    26.0      3.94     -1.975        FeI      29.5
4596.41    26.0      3.65     -2.147        FeI      34.1
4602.00    26.0      1.61     -3.220        FeI      72.2
4602.95    26.0      1.49     -2.254        FeI     123.9
4607.65    26.0      3.98     -0.699        FeI      90.0
4625.05    26.0      3.24     -1.402        FeI      96.7
4630.12    26.0      2.28     -2.587        FeI      74.3
4631.49    26.0      4.55     -1.937        FeI      11.6
4635.85    26.0      2.85     -2.401        FeI      55.5
4661.54    26.0      4.56     -1.211        FeI      38.5
4690.14    26.0      3.69     -1.618        FeI      58.8
4741.53    26.0      2.83     -1.989        FeI      73.1
4749.95    26.0      4.56     -1.248        FeI      36.0
4757.58    26.0      3.27     -2.004        FeI      56.3
4772.82    26.0      1.56     -2.736        FeI      94.0
4779.44    26.0      3.42     -2.189        FeI      41.4
4780.81    26.0      3.25     -3.285        FeI       9.2
4787.83    26.0      3.00     -2.607        FeI      42.8
4788.76    26.0      3.24     -1.742        FeI      67.0
4789.65    26.0      3.55     -1.128        FeI      85.5
4793.97    26.0      3.05     -3.511        FeI       8.6
4794.36    26.0      2.42     -3.940        FeI      12.4
4799.41    26.0      3.64     -2.104        FeI      35.9
4802.52    26.0      4.61     -1.754        FeI      14.9
4802.88    26.0      3.69     -1.529        FeI      60.4
4808.15    26.0      3.25     -2.670        FeI      27.7
4809.94    26.0      3.57     -2.585        FeI      19.4
4811.05    26.0      3.07     -3.227        FeI      14.5
4885.43    26.0      3.88     -1.112        FeI      72.5
4905.14    26.0      3.93     -1.876        FeI      35.5
4924.77    26.0      2.28     -2.130        FeI      97.9
4946.39    26.0      3.37     -1.223        FeI     103.7
4952.65    26.0      4.21     -1.184        FeI      55.1
4961.92    26.0      3.63     -2.340        FeI      26.7
4962.58    26.0      4.18     -1.211        FeI      55.1
4967.90    26.0      4.19     -0.669        FeI      82.9
4993.70    26.0      4.21     -1.135        FeI      57.6
4994.14    26.0      0.92     -3.233        FeI     105.3
5044.22    26.0      2.85     -2.167        FeI      73.6
5049.82    26.0      2.28     -1.528        FeI     149.3
5054.65    26.0      3.64     -2.014        FeI      40.6
5067.15    26.0      4.22     -0.913        FeI      73.0
5068.77    26.0      2.94     -1.310        FeI     131.1
5072.68    26.0      4.22     -0.963        FeI      65.9
5074.76    26.0      4.22     -0.289        FeI     120.4
5083.34    26.0      0.96     -3.112        FeI     111.3
5088.15    26.0      4.15     -1.602        FeI      38.9
5090.78    26.0      4.26     -0.574        FeI      93.8
5107.45    26.0      0.99     -3.209        FeI     104.3
5107.65    26.0      1.56     -2.651        FeI     105.7
5109.65    26.0      4.30     -0.798        FeI      76.8
5127.36    26.0      0.92     -3.371        FeI      99.4
5129.63    26.0      3.94     -1.514        FeI      53.1
5141.74    26.0      2.42     -2.188        FeI      89.3
5143.73    26.0      2.20     -3.854        FeI      22.3
