WL         num       E.P.     loggf         ele     EWsun
-------    ----      ----     ------        ----    -----
4523.40    26.0      3.65     -1.879        FeI      44.2
4537.67    26.0      3.27     -2.881        FeI      17.4
4551.65    26.0      3.94     -1.937        FeI      29.1
4556.93    26.0      3.25     -2.654        FeI      26.3
4566.52    26.0      3.30     -2.164        FeI      46.2
4574.22    26.0      3.21     -2.361        FeI      41.0
4593.53    26.0      3.94     -1.931        FeI      29.5
4596.41    26.0      3.65     -2.098        FeI      34.1
4602.00    26.0      1.61     -3.171        FeI      72.2
4630.12    26.0      2.28     -2.495        FeI      74.3
4631.49    26.0      4.55     -1.898        FeI      11.6
4661.54    26.0      4.56     -1.195        FeI      38.5
4690.14    26.0      3.69     -1.556        FeI      58.8
4802.88    26.0      3.69     -1.532        FeI      60.4
4808.15    26.0      3.25     -2.637        FeI      27.7
4809.94    26.0      3.57     -2.551        FeI      19.4
4811.05    26.0      3.07     -3.190        FeI      14.5
4885.43    26.0      3.88     -1.144        FeI      72.5
4961.92    26.0      3.63     -2.310        FeI      26.7
5127.36    26.0      0.92     -3.325        FeI      99.4
5141.74    26.0      2.42     -2.132        FeI      89.3
5223.19    26.0      3.63     -2.261        FeI      29.4
5228.38    26.0      4.22     -1.101        FeI      60.0
5242.50    26.0      3.63     -1.130        FeI      86.7
5243.78    26.0      4.26     -1.029        FeI      62.2
5247.06    26.0      0.09     -4.946        FeI      66.4
5294.55    26.0      3.64     -2.634        FeI      15.5
5295.32    26.0      4.42     -1.525        FeI      29.3
5376.83    26.0      4.29     -2.049        FeI      14.7
5379.58    26.0      3.69     -1.558        FeI      61.2
5386.34    26.0      4.15     -1.717        FeI      32.1
5389.48    26.0      4.42     -0.539        FeI      84.6
5398.28    26.0      4.45     -0.689        FeI      73.3
5409.14    26.0      4.37     -1.058        FeI      55.7
5432.95    26.0      4.45     -0.734        FeI      70.6
5436.30    26.0      4.39     -1.325        FeI      40.5
5464.28    26.0      4.14     -1.601        FeI      38.2
5466.99    26.0      3.65     -2.147        FeI      34.2
5473.17    26.0      4.19     -1.995        FeI      19.5
5522.45    26.0      4.21     -1.425        FeI      44.0
5543.94    26.0      4.22     -1.075        FeI      62.2
5546.51    26.0      4.37     -1.129        FeI      52.0
5560.22    26.0      4.43     -1.071        FeI      52.4
5584.77    26.0      3.57     -2.197        FeI      35.8
5618.64    26.0      4.21     -1.305        FeI      50.5
5619.60    26.0      4.39     -1.442        FeI      35.0
5633.95    26.0      4.99     -0.390        FeI      66.5
5636.70    26.0      3.64     -2.517        FeI      19.8
5638.27    26.0      4.22     -0.814        FeI      77.6
5649.99    26.0      5.10     -0.792        FeI      36.2
5651.47    26.0      4.47     -1.771        FeI      18.4
5653.87    26.0      4.39     -1.408        FeI      36.7
5679.03    26.0      4.65     -0.761        FeI      59.5
5680.24    26.0      4.19     -2.337        FeI      10.3
5715.09    26.0      4.28     -0.851        FeI      72.5
5720.90    26.0      4.55     -1.810        FeI      14.9
5738.24    26.0      4.22     -2.171        FeI      13.6
5775.08    26.0      4.22     -1.129        FeI      59.8
5793.92    26.0      4.22     -1.629        FeI      34.0
5811.92    26.0      4.14     -2.342        FeI      11.4
5814.81    26.0      4.28     -1.827        FeI      23.0
5815.22    26.0      4.15     -2.371        FeI      10.5
5853.15    26.0      1.49     -5.142        FeI       7.5
5855.08    26.0      4.61     -1.537        FeI      22.3
5862.36    26.0      4.55     -0.409        FeI      87.6
5902.48    26.0      4.59     -1.805        FeI      14.2
5905.68    26.0      4.65     -0.780        FeI      58.7
